Patron,Address,latitude,longitude,Family size,Village,Photo
Izmarg_Res#1,Izmarg_Res#1_Addr,34.65790066755966,74.68189562112558,3,Izmarg,photos/Izmarg_Res1_Izmarg.jpeg
Izmarg_Res#2,Izmarg_Res#2_Addr,34.659753034087004,74.67794666328841,2,Izmarg,photos/Izmarg_Res2_Izmarg.jpeg
Izmarg_Res#3,Izmarg_Res#3_Addr,34.657021482911375,74.68612645015176,8,Izmarg,photos/Izmarg_Res3_Izmarg.jpeg
Izmarg_Res#4,Izmarg_Res#4_Addr,34.65402091473695,74.68775882872379,9,Izmarg,photos/Izmarg_Res4_Izmarg.jpeg
Izmarg_Res#5,Izmarg_Res#5_Addr,34.655784101345446,74.68911323247104,8,Izmarg,photos/Izmarg_Res5_Izmarg.jpeg
Izmarg_Res#6,Izmarg_Res#6_Addr,34.659221421042744,74.68891009660865,9,Izmarg,photos/Izmarg_Res6_Izmarg.jpeg
Izmarg_Res#7,Izmarg_Res#7_Addr,34.6544516860146,74.69003508282155,2,Izmarg,photos/Izmarg_Res7_Izmarg.jpeg
Izmarg_Res#8,Izmarg_Res#8_Addr,34.65842597527495,74.67991084023606,8,Izmarg,photos/Izmarg_Res8_Izmarg.jpeg
Izmarg_Res#9,Izmarg_Res#9_Addr,34.654770423684525,74.68062125454676,7,Izmarg,photos/Izmarg_Res9_Izmarg.jpeg
Izmarg_Res#10,Izmarg_Res#10_Addr,34.65880597029913,74.67775708118296,6,Izmarg,photos/Izmarg_Res10_Izmarg.jpeg
Izmarg_Res#11,Izmarg_Res#11_Addr,34.655142320536484,74.6851981972132,9,Izmarg,photos/Izmarg_Res11_Izmarg.jpeg
Izmarg_Res#12,Izmarg_Res#12_Addr,34.659538621591054,74.68470950626651,10,Izmarg,photos/Izmarg_Res12_Izmarg.jpeg
Izmarg_Res#13,Izmarg_Res#13_Addr,34.65517255598363,74.68347054505624,2,Izmarg,photos/Izmarg_Res13_Izmarg.jpeg
